,block_date,volumes
0,2023-08-22,386.108298439
1,2023-08-11,19805.340546936
2,2023-08-15,3316.204787888
3,2023-08-29,1099154.09945884
4,2023-09-09,16291.81685542
5,2023-09-08,35.03475
6,2023-08-10,163440.304533392
7,2023-08-17,420275.66968388
8,2023-09-04,47309.755793972
9,2023-08-25,30134.0369041
10,2023-08-23,11054.73996992
11,2023-08-13,24953.575763995
12,2023-08-19,445.844917945
13,2023-09-07,0.144875808
14,2023-08-18,456742.112897674
15,2023-08-24,18049.380965538
16,2023-09-02,3897.823215793
17,2023-08-12,2357.67250683
18,2023-09-05,43120.481123411
19,2023-09-06,1130.496946
20,2023-08-31,868.420504498
21,2023-09-10,5623.90455772
22,2023-08-14,13807.656653559
23,2023-08-21,27763.43192666
24,2023-08-16,7875.42967821
25,2023-08-27,22.8868
26,2023-08-28,1348767.05577721
27,2023-09-01,11553.926280903
28,2023-08-20,254953.648336572
29,2023-08-30,103.085942833
