,block_date,n_new_recipient
0,2023-08-11,30
1,2023-08-22,10
2,2023-09-09,15
3,2023-09-08,8
4,2023-08-21,22
5,2023-08-12,29
6,2023-08-13,25
7,2023-09-05,6
8,2023-08-31,8
9,2023-09-06,3
10,2023-08-14,26
11,2023-09-10,8
12,2023-09-02,24
13,2023-08-24,13
14,2023-08-15,27
15,2023-08-18,14
16,2023-08-26,13
17,2023-09-01,8
18,2023-08-28,6
19,2023-08-30,16
20,2023-08-16,18
21,2023-08-27,5
22,2023-08-20,20
23,2023-09-07,4
24,2023-08-19,19
25,2023-08-29,6
26,2023-09-03,10
27,2023-08-10,105
28,2023-08-17,16
29,2023-08-23,8
30,2023-08-25,4
31,2023-09-04,11
