,block_date,value
0,2023-08-22,15687.091352226
1,2023-08-11,729405.536514561
2,2023-08-29,8059.543338904
3,2023-08-18,29659.564636984
4,2023-09-03,22037.852354313
5,2023-09-04,12680.643012444
6,2023-09-08,46413.186942514
7,2023-09-09,8117.307061641
8,2023-08-19,18260.391390999
9,2023-09-07,7270.685664176
10,2023-09-10,14241.172490661
11,2023-08-14,201266.684373572
12,2023-08-10,556840.757196482
13,2023-08-17,45615.919543595
14,2023-08-30,23697.131652461
15,2023-08-23,17291.887367453
16,2023-08-25,2343.360305385
17,2023-08-12,136853.640961554
18,2023-08-21,40252.538471743
19,2023-08-26,14666.850123014
20,2023-09-01,23910.673060204
21,2023-08-28,11317.636226471
22,2023-08-13,75065.370407796
23,2023-09-05,2795.901591854
24,2023-08-20,47039.991933436
25,2023-08-31,17230.239161899
26,2023-09-06,4982.396045682
27,2023-08-27,4312.986993201
28,2023-08-16,50098.65798134
29,2023-09-02,65809.228462729
30,2023-08-24,14366.03631375
31,2023-08-15,323545.060951589
