name,total,rank
Nest Protocol,0.1483,1.0
Burger Swap,0.1258331117101925,2.0
FTX Token,0.12166948649237914,3.0
AGI Token,0.1112,4.0
DREP,0.10568173806300867,5.0
TENET,0.10405036793255466,6.0
Energy Web Token,0.09562734887662455,7.0
Crypton,0.0950329505843163,8.0
Bonfida,0.08965377863414785,9.0
Polkastarter,0.08319721882963253,10.0
Akropolis,0.08077909900431948,11.0
Verge,0.07914305177394293,12.0
Turbo,0.0686727971665262,13.0
DEAPCoin,0.06461302428234031,14.0
Flamingo,0.05480717971166858,15.0
Firo,0.04740834751036357,16.0
Everipedia,0.028408140516847574,17.0
Dawn Protocol,0.0239,18.0
Refereum,0.019,19.0
Ispolink,0.018335299618065595,20.0
BeNFT AI,0.0143,21.0
Sperax,0.01386832383557193,22.0
XEN Crypto,0.012714282710513504,23.0
Crust Network,0.011899999999999999,24.0
Machine Xchange Coin,0.0115,25.0
Ooki Protocol,0.0097,26.0
e-RADIX,0.0097,27.0
Bitget Token,0.0089,28.0
StreamCoin,0.0077,29.0
Dvision Network,0.0068000000000000005,30.0
Wing Finance,0.0068000000000000005,31.0
Tokenlon,0.0067,32.0
Crypto One Stop Solution,0.0064,33.0
Unifi Protocol DAO,0.0063,34.0
OpenANX,0.006,35.0
vEmpire DDAO,0.005699999999999999,36.0
SingularityDAO,0.0048,37.0
Creditcoin,0.0045000000000000005,38.0
BakeryToken,0.0044,39.0
LBR,0.0044,40.0
Unibot,0.004370826386708517,41.0
Lovely Inu,0.004,42.0
SwftCoin,0.0037,43.0
Bone ShibaSwap,0.0034000000000000002,44.0
VIDT DAO,0.0031,45.0
Rally,-0.022482007980606115,46.0
Fei Protocol,-0.04043676295574822,47.0
Flux,-0.04551009438254449,48.0
Echelon Prime,-0.0504618056258076,49.0
Bitgert,-0.09182206271274505,50.0
